site_code,collection_date,RR_shannon,RR_simpson,RR_richness,LRR_shannon,LRR_simpson,LRR_richness
AR,2017-09-16,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692
AR,2017-11-01,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987
PD,2017-11-01,-0.16570617560192544,-0.08613553401714569,-0.31425877781904404,-1.7975390854678657,-1.7975390854678657,-1.157538499303498
AR,2017-12-07,-0.2229144500007398,-0.260730470099079,-0.2499687539057618,-1.5009672134113865,-1.5009672134113865,-1.3864193533080416
AR,2018-02-03,-0.44811565496079053,-0.5017520303249028,-0.285673475217826,-0.8027039214896746,-0.8027039214896746,-1.2529058154351154
PD,2018-02-03,-0.32957183277291197,-0.3223458516638745,-0.36360330879011,-1.1099609434186821,-1.1099609434186821,-1.011691816637408
AR,2018-04-07,-0.4829180972607977,-0.4803021668083214,-0.5999400059994001,-0.7279082105969505,-0.7279082105969505,-0.5109256187663239
SF,2018-04-07,-0.354160690478261,-0.3048103455553846,-0.4999500049995001,-1.0380045409377752,-1.0380045409377752,-0.6932471755602785
TR,2018-04-07,-0.5684202330721845,-0.5140682870721343,-0.3749531308586427,-0.5648942868547591,-0.5648942868547591,-0.9809542451998772
AR,2018-05-12,-0.0329424553283715,0.09901485951507409,-0.3999600039996001,-3.41299301759431,-3.41299301759431,-0.9163907268744883
SF,2018-05-12,-0.4097329264308906,-0.4131096781359568,-0.3999600039996001,-0.8922497304853053,-0.8922497304853053,-0.9163907268744883
AR,2018-06-08,0.6011963550470938,0.6444459478563029,-0.09999000099990002,-0.508833683917615,-0.508833683917615,-2.3026850879943788
PD,2018-06-08,-0.2747121984098229,-0.3955968708218128,0,-1.2920312805697045,-1.2920312805697045,-100000
AR,2018-07-01,-0.35699105561274075,-0.3190620041621916,-0.4999500049995001,-1.0300445518224106,-1.0300445518224106,-0.6932471755602785
