site_code,collection_date,Diversity,Observed,Estimator,s.e.,LCL,UCL
AR,2017-09-16,Species richness,7,7.979591836734694,1.5253605913470278,7,10.969243659211587
AR,2017-09-16,Shannon diversity,5.147846674780755,5.577002007248242,0.4302310371578623,4.733764669387519,6.420239345108966
AR,2017-09-16,Simpson diversity,4.5046904315197,4.859504132231403,0.5197656218627845,3.840782232978281,5.878226031484525
AR,2017-11-01,Species richness,9,9,0.5532208861632103,9,10.084293012375225
AR,2017-11-01,Shannon diversity,3.2407098982580935,3.2638311658263968,0.17059580531501567,2.9294695314953594,3.598192800157434
AR,2017-11-01,Simpson diversity,2.1491911783496462,2.153465346534654,0.11471320955151867,1.9286315872626811,2.3782991058066267
AR,2017-12-07,Species richness,6,6,0.4845566097344175,6,6.949713503550289
AR,2017-12-07,Shannon diversity,4.0624669090415075,4.1627260992458135,0.3081832316743139,3.5586980645249953,4.766754133966632
AR,2017-12-07,Simpson diversity,3.302278627055091,3.3755952380952308,0.3652002367227086,2.6598159269732196,4.0913745492172415
AR,2018-02-03,Species richness,5,5,0.45556165645215196,5,5.892884439383627
AR,2018-02-03,Shannon diversity,3.813570219717783,3.990279105560157,0.42224012688809437,3.1627036640318704,4.817854547088444
AR,2018-02-03,Simpson diversity,3.245398773006135,3.415841584158423,0.4804293761125454,2.474217309862787,4.357465858454059
AR,2018-04-07,Species richness,4,4,0.5365255006938319,4,5.05157065814723
AR,2018-04-07,Shannon diversity,2.8953382225619557,3.0051635115649966,0.27111662936969205,2.473784682390506,3.536542340739487
AR,2018-04-07,Simpson diversity,2.6005625879043603,2.703592814371255,0.2564964779169714,2.2008689554926177,3.206316673249892
AR,2018-05-12,Species richness,6,6,0,6,6
AR,2018-05-12,Shannon diversity,3.4148396717919787,3.4616907241727235,0.26823953477580176,2.935950896782373,3.987430551563074
AR,2018-05-12,Simpson diversity,2.317524115755627,2.334147334147325,0.2266805195075241,1.8898616799157488,2.7784329883789014
AR,2018-06-08,Species richness,9,11.996282527881041,1.700355927387254,9,15.328918906459261
AR,2018-06-08,Shannon diversity,2.5712907489618217,2.5906745452517077,0.07981993209987713,2.434230353087516,2.7471187374158994
AR,2018-06-08,Simpson diversity,2.224249047968715,2.2276326424373587,0.0358230179766635,2.1574208173855673,2.29784446748915
AR,2018-07-01,Species richness,5,10.142857142857142,4.392623910090865,5,18.752241804264745
AR,2018-07-01,Shannon diversity,4.3713693440071175,9.20656334613286,4.793606277313613,0,18.601859005732663
AR,2018-07-01,Simpson diversity,3.7692307692307696,6.999999999999999,6.143974425922484,0,19.04196859674322
AR,2018-08-01,Species richness,4,4.928571428571429,0.8433488275310276,4,6.581504756936324
AR,2018-08-01,Shannon diversity,3.0139861315450753,3.5688664480021384,0.6030374569763101,2.386934750999949,4.750798145004328
AR,2018-08-01,Simpson diversity,2.6486486486486487,3.033333333333334,0.6195016473732765,1.81913241611848,4.247534250548188
AR,2018-09-11,Species richness,11,11.999065420560747,1.844405437740684,11,15.61403365142232
