site_code,collection_date,richness,shannon,simpson
AR,2017-09-16,7,4.75863719287109,3.8992628992628995
AR,2017-11-01,9,4.85909962569213,3.783272727272728
AR,2017-12-07,6,4.021505162339264,3.272484416740872
AR,2018-02-03,5,3.390740411334612,2.7996875542440556
AR,2018-04-07,4,1.8573088521104577,1.4179431072210062
AR,2018-05-12,6,3.4744486402319144,2.99966588706983
AR,2018-06-08,9,5.7534411142382575,4.4888691006233294
AR,2018-07-01,5,4.166436205292808,3.521739130434783
AR,2018-08-01,4,4,4
AR,2018-09-11,11,6.622382527248003,5.00174748798602
AR,2020-01-17,7,6.144744922504806,5.6200716845878125
AR,2020-05-20,10,3.5928385046280042,2.7293233082706765
AR,2020-09-20,10,6.480148111032999,5.172362555720652
AR,2020-11-03,8,5.175399384010028,4.426998563906176
EM,2017-10-10,10,5.365290907706528,4.02177554438861
EM,2017-11-03,13,4.621796733014487,3.257634786980017
EM,2017-12-02,14,3.5798684828256397,2.3598712829986295
EM,2018-02-09,11,4.760168904648248,3.426073993766093
EM,2018-03-09,10,3.2237588366027206,2.333665636526767
EM,2018-03-31,7,3.9010940605681363,3.201058201058201
EM,2018-05-04,10,5.211720029134734,3.995691343517431
EM,2018-06-04,6,4.609086695816717,3.903225806451613
EM,2018-07-05,6,6,6
EM,2018-09-01,8,6.292111764414631,4.828571428571428
EM,2020-01-14,8,3.915487016037031,2.536231884057971
EM,2020-05-30,7,5.000542877147085,3.9512195121951215
EM,2020-09-08,9,6.792134942889018,5.263157894736843
EM,2020-11-05,12,5.82539204657363,4.047904191616767
GC,2017-10-03,5,4.166436205292808,3.521739130434783
GC,2017-11-04,11,4.8717098499547635,3.4674493062966922
GC,2017-12-03,13,6.745649985384081,4.104712041884817
GC,2018-02-11,13,5.184548957063665,2.775903614457831
GC,2018-03-30,9,3.6195544291406905,2.222689075630252
GC,2018-05-04,9,5.803353150879149,4.173410404624279
GC,2018-06-06,9,5.895197589772761,4.172839506172839
GC,2018-07-05,3,2.9999999999999996,3.0000000000000004
GC,2018-07-27,11,7.956756186746701,5.978165938864628
GC,2018-11-15,7,5.138009466578085,4.44973544973545
GC,2020-01-15,7,4.9355417919679505,3.990228013029316
GC,2020-05-24,9,5.57580452905127,4.062176165803109
GC,2020-09-09,11,6.447144407080779,5.027586206896552
GC,2020-11-02,12,9.965924001659454,8.8126582278481
MR,2017-09-26,1,1,1
MR,2017-10-31,7,2.6558144581592265,2.161764705882353
MR,2017-12-05,8,5.102281065256272,4.414905450500557
MR,2018-02-05,13,5.069151200505786,3.6538557524332425
MR,2018-03-05,6,4.662978688338382,3.789473684210526
MR,2018-04-01,6,5.1833491118601,4.591836734693878
MR,2018-06-06,5,5.000000000000001,4.999999999999999
MR,2018-07-27,3,2.6004900059896596,2.3333333333333335
MR,2020-01-17,8,7.518477245053691,7.000000000000001
MR,2020-05-21,11,9.141181223896973,7.999999999999998
MR,2020-09-10,9,4.8651058654282435,2.972477064220183
MR,2020-11-03,13,6.82314273934039,4.502325581395349
PD,2017-10-04,8,6.337285984685423,5.1282051282051295
PD,2017-11-01,8,6.603448667383888,5.7142857142857135
PD,2017-12-04,11,8.26259388353276,7.056293979671619
PD,2018-02-03,7,5.33564051851863,4.3663366336633676
PD,2018-03-05,9,6.427170388974259,4.651162790697674
PD,2018-03-30,9,6.597184417886837,5.203288490284007
PD,2018-05-10,4,1.9416635965218092,1.6232104782211392
PD,2018-06-08,12,5.762665151785468,3.612826603325415
PD,2018-08-01,14,10.804678223860645,9.090614886731391
PD,2018-08-31,12,8.212108863545975,6.461538461538463
PD,2020-01-16,11,7.959048189191011,6.443786982248519
PD,2020-05-21,12,7.94572837341089,5.978165938864628
PD,2020-09-09,12,7.840866208961914,6.336972704714641
PL,2017-10-10,8,4.902656245986705,3.90909090909091
PL,2017-11-11,9,4.412397665001475,3.417316171558366
PL,2017-12-03,8,4.335359704063138,3.6091292673571154
PL,2018-02-11,7,3.4081719101148185,2.9782745196533966
PL,2018-03-02,7,2.9422117406686668,1.9266666666666663
PL,2018-04-01,10,4.236932015684529,3.093059721843469
PL,2018-05-10,9,4.0256567031369235,2.9625531914893624
PL,2018-06-07,9,4.3348455831538875,3.3405486284289276
PL,2018-07-27,8,5.172276485542817,3.5911330049261094
PL,2018-09-25,6,5.106083043687101,4.571428571428572
PL,2020-01-15,9,4.839352560060827,4.168984209285883
