site_code,collection_date,richness,shannon,simpson
AR,2017-09-16,7,5.147846674780755,4.5046904315197
AR,2017-11-01,9,3.2407098982580935,2.1491911783496462
AR,2017-12-07,6,4.0624669090415075,3.302278627055091
AR,2018-02-03,5,3.813570219717783,3.245398773006135
AR,2018-04-07,4,2.8953382225619557,2.6005625879043603
AR,2018-05-12,6,3.4148396717919787,2.317524115755627
AR,2018-06-08,9,2.5712907489618217,2.224249047968715
AR,2018-07-01,5,4.3713693440071175,3.7692307692307696
AR,2018-08-01,4,3.0139861315450753,2.6486486486486487
AR,2018-09-11,11,1.7963242036116664,1.290542932054025
AR,2020-01-17,7,5.423237763501077,4.778830963665087
AR,2020-05-20,10,5.896303930077525,5.053824461233159
AR,2020-09-20,10,6.102561171942601,4.817884405670665
AR,2020-11-03,8,4.32996065753892,3.4613337276356644
EM,2017-10-10,10,2.308321052580471,1.52757793764988
EM,2017-11-03,13,5.176025505369034,3.59998252817332
EM,2017-12-02,14,5.401262989064362,3.6334414626953704
EM,2018-02-09,11,3.6253433915927675,2.510127178520961
EM,2018-03-09,10,2.00674653877555,1.4646146579548138
EM,2018-03-31,7,5.497225956958394,4.745098039215686
EM,2018-05-04,10,2.655603345288124,2.0590381085918175
EM,2018-06-04,6,1.6226363633029124,1.263477088948787
EM,2018-07-05,6,1.9404317590172604,1.4653739612188366
EM,2018-09-01,8,1.4757970788534238,1.159577564342439
EM,2020-01-14,8,3.175649751302822,2.078202247191011
EM,2020-05-30,7,3.863102627155318,2.9419729206963257
EM,2020-09-08,9,6.679937453161863,5.191126279863481
EM,2020-11-05,12,3.7987543429998842,3.0858823421118036
GC,2017-10-03,5,4.710650674213246,4.454545454545455
GC,2017-11-04,11,5.666992948002703,3.3484320557491296
GC,2017-12-03,13,4.64858305557205,2.5567390413764852
GC,2018-02-11,13,4.306349159180446,2.324029655473179
GC,2018-03-30,9,7.239574579670147,6.04109589041096
GC,2018-05-04,9,1.7627023750376625,1.2688841553334425
GC,2018-06-06,9,4.794221587846548,3.130434782608695
GC,2018-07-05,3,2.586409289858933,2.272727272727273
GC,2018-07-27,11,8.258281754122079,6.377358490566036
GC,2018-11-15,7,6.17232737686821,5.538461538461538
GC,2020-01-15,7,5.733312163641947,5.172413793103448
GC,2020-05-24,9,3.88572553932705,2.500574052812859
GC,2020-09-09,11,4.844177290517564,3.6030515565399286
GC,2020-11-02,12,2.554141303179018,1.5834803494377958
MR,2017-09-26,1,1,1
MR,2017-10-31,7,5.281904886414122,4.1724137931034475
MR,2017-12-05,8,7.445101560185091,7.000000000000001
MR,2018-02-05,13,3.298035179793193,1.8638480831243283
