site_code,collection_date,family,lowest_taxon,B100_com,B100_fam,B100_spe
AR,2017-09-16,Leuciscidae,C. lutrensis,45.9460793,3.8896157000000002,3.8896157000000002
AR,2017-09-16,Poeciliidae,G. affinis,45.9460793,0.126614,0.126614
AR,2017-09-16,Cichlidae,H. cyanoguttatum,45.9460793,4.5673018,4.5673018
AR,2017-09-16,Ictaluridae,I. punctatus,45.9460793,0.7272012,0.7272012
AR,2017-09-16,Centrarchidae,L. auritus,45.9460793,36.6353466,14.721304599999998
AR,2017-09-16,Centrarchidae,L. cyanellus,45.9460793,36.6353466,10.7253375
AR,2017-09-16,Centrarchidae,L. macrochirus,45.9460793,36.6353466,11.1887045
AR,2017-11-01,Leuciscidae,C. lutrensis,575.7989268,9.6985557,9.6985557
AR,2017-11-01,Poeciliidae,G. affinis,575.7989268,0.43094129999999997,0.43094129999999997
AR,2017-11-01,Cichlidae,H. cyanoguttatum,575.7989268,20.8440505,20.8440505
AR,2017-11-01,Centrarchidae,L. auritus,575.7989268,162.9173079,12.1938235
AR,2017-11-01,Centrarchidae,L. cyanellus,575.7989268,162.9173079,4.2343107
AR,2017-11-01,Centrarchidae,L. macrochirus,575.7989268,162.9173079,79.5979557
AR,2017-11-01,Centrarchidae,L. megalotis,575.7989268,162.9173079,57.4627542
AR,2017-11-01,Lepisosteidae,L. oculatus,575.7989268,381.9080714,381.9080714
AR,2017-11-01,Centrarchidae,M. salmoides,575.7989268,162.9173079,9.428463800000001
AR,2017-12-07,Leuciscidae,C. lutrensis,104.4641663,6.6755117,6.6755117
AR,2017-12-07,Poeciliidae,G. affinis,104.4641663,0.5502435,0.5502435
AR,2017-12-07,Cichlidae,H. cyanoguttatum,104.4641663,17.033781,17.033781
AR,2017-12-07,Centrarchidae,L. cyanellus,104.4641663,80.2046301,7.2475589000000005
AR,2017-12-07,Centrarchidae,L. macrochirus,104.4641663,80.2046301,22.9679262
AR,2017-12-07,Centrarchidae,L. megalotis,104.4641663,80.2046301,49.989145
AR,2018-02-03,Leuciscidae,C. lutrensis,42.830047199999996,13.1568586,13.1568586
AR,2018-02-03,Poeciliidae,G. affinis,42.830047199999996,1.2027387,1.2027387
