site_code,collection_date,family,lowest_taxon,L_mu_com,L_mu_fam,L_mu_spe
AR,2017-09-16,Leuciscidae,C. lutrensis,49.79773170731708,45.27428571428572,45.27428571428572
AR,2017-09-16,Poeciliidae,G. affinis,49.79773170731708,27.5,27.5
AR,2017-09-16,Cichlidae,H. cyanoguttatum,49.79773170731708,43.75,43.75
AR,2017-09-16,Ictaluridae,I. punctatus,49.79773170731708,71.412,71.412
AR,2017-09-16,Centrarchidae,L. auritus,49.79773170731708,56.08531578947368,103.257
AR,2017-09-16,Centrarchidae,L. cyanellus,49.79773170731708,56.08531578947368,119.416
AR,2017-09-16,Centrarchidae,L. macrochirus,49.79773170731708,56.08531578947368,51.58034285714286
AR,2017-11-01,Anguillidae,A. rostrata,66.54251875,385,385
AR,2017-11-01,Leuciscidae,C. lutrensis,66.54251875,40.298880000000004,40.298880000000004
AR,2017-11-01,Poeciliidae,G. affinis,66.54251875,26.666666666666668,26.666666666666668
AR,2017-11-01,Cichlidae,H. cyanoguttatum,66.54251875,47.27777777777778,47.27777777777778
AR,2017-11-01,Centrarchidae,L. auritus,66.54251875,69.78755882352941,142.891
AR,2017-11-01,Centrarchidae,L. cyanellus,66.54251875,69.78755882352941,97.152
AR,2017-11-01,Centrarchidae,L. macrochirus,66.54251875,69.78755882352941,75.392
AR,2017-11-01,Centrarchidae,L. megalotis,66.54251875,69.78755882352941,62.95132203389831
AR,2017-11-01,Lepisosteidae,L. oculatus,66.54251875,580,580
AR,2017-11-01,Centrarchidae,M. salmoides,66.54251875,69.78755882352941,148.48
AR,2017-12-07,Leuciscidae,C. lutrensis,62.01961061946903,43.32523076923077,43.32523076923077
AR,2017-12-07,Poeciliidae,G. affinis,62.01961061946903,27.46153846153846,27.46153846153846
AR,2017-12-07,Cichlidae,H. cyanoguttatum,62.01961061946903,65.5,65.5
AR,2017-12-07,Centrarchidae,L. cyanellus,62.01961061946903,75.18228571428571,131.56
AR,2017-12-07,Centrarchidae,L. macrochirus,62.01961061946903,75.18228571428571,77.312
AR,2017-12-07,Centrarchidae,L. megalotis,62.01961061946903,75.18228571428571,72.7936
AR,2018-02-03,Leuciscidae,C. lutrensis,48.33583193277311,49.35161904761905,49.35161904761905
AR,2018-02-03,Poeciliidae,G. affinis,48.33583193277311,29.90909090909091,29.90909090909091
AR,2018-02-03,Cichlidae,H. cyanoguttatum,48.33583193277311,47,47
AR,2018-02-03,Centrarchidae,L. macrochirus,48.33583193277311,56.913545454545456,75.776
AR,2018-02-03,Centrarchidae,L. megalotis,48.33583193277311,56.913545454545456,55.53336585365854
AR,2018-04-07,Leuciscidae,C. lutrensis,57.73389473684211,56.36450000000001,56.36450000000001
AR,2018-04-07,Poeciliidae,G. affinis,57.73389473684211,40,40
AR,2018-04-07,Cichlidae,H. cyanoguttatum,57.73389473684211,130,130
AR,2018-04-07,Centrarchidae,L. macrochirus,57.73389473684211,60.074666666666666,60.074666666666666
AR,2018-05-12,Leuciscidae,C. lutrensis,69.15675862068966,51.34262857142858,51.34262857142858
AR,2018-05-12,Cichlidae,H. cyanoguttatum,69.15675862068966,77.66666666666667,77.66666666666667
AR,2018-05-12,Centrarchidae,L. cyanellus,69.15675862068966,74.74521495327103,116.886
AR,2018-05-12,Centrarchidae,L. macrochirus,69.15675862068966,74.74521495327103,60.704
AR,2018-05-12,Centrarchidae,L. megalotis,69.15675862068966,74.74521495327103,79.0354647887324
AR,2018-05-12,Centrarchidae,M. salmoides,69.15675862068966,74.74521495327103,104.96000000000001
AR,2018-06-08,Ictaluridae,A. melas,63.589575,33.626,31
AR,2018-06-08,Ictaluridae,A. natalis,63.589575,33.626,36.251999999999995
AR,2018-06-08,Leuciscidae,C. lutrensis,63.589575,48.680888888888894,48.680888888888894
AR,2018-06-08,Poeciliidae,G. affinis,63.589575,35.666666666666664,35.666666666666664
AR,2018-06-08,Cichlidae,H. cyanoguttatum,63.589575,350,350
AR,2018-06-08,Centrarchidae,L. gulosus,63.589575,61.015115384615385,89
AR,2018-06-08,Centrarchidae,L. macrochirus,63.589575,61.015115384615385,55.90109090909091
AR,2018-06-08,Centrarchidae,L. megalotis,63.589575,61.015115384615385,63.92972413793103
AR,2018-06-08,Lepisosteidae,L. oculatus,63.589575,524,524
AR,2018-07-01,Leuciscidae,C. lutrensis,47.91328571428571,46.65466666666667,57.824000000000005
AR,2018-07-01,Poeciliidae,G. affinis,47.91328571428571,36.125,36.125
AR,2018-07-01,Ictaluridae,I. punctatus,47.91328571428571,160.13600000000002,160.13600000000002
AR,2018-07-01,Centrarchidae,L. megalotis,47.91328571428571,40.842999999999996,40.842999999999996
AR,2018-07-01,Leuciscidae,N. texanus,47.91328571428571,46.65466666666667,41.07000000000001
AR,2018-08-01,Centrarchidae,L. cyanellus,107.2028,107.2028,148.764
AR,2018-08-01,Centrarchidae,L. gulosus,107.2028,107.2028,84
AR,2018-08-01,Centrarchidae,L. megalotis,107.2028,107.2028,60.489
AR,2018-08-01,Centrarchidae,M. salmoides,107.2028,107.2028,182.272
AR,2018-09-11,Ictaluridae,A. natalis,68.76234013605442,97.37493333333333,102.71399999999998
AR,2018-09-11,Leuciscidae,C. lutrensis,68.76234013605442,35.74285714285715,35.74285714285715
AR,2018-09-11,Poeciliidae,G. affinis,68.76234013605442,31.5,31.5
AR,2018-09-11,Cichlidae,H. cyanoguttatum,68.76234013605442,41,41
AR,2018-09-11,Ictaluridae,I. punctatus,68.76234013605442,97.37493333333333,96.99357142857143
AR,2018-09-11,Centrarchidae,L. cyanellus,68.76234013605442,61.58692307692308,80.96000000000001
AR,2018-09-11,Centrarchidae,L. gulosus,68.76234013605442,61.58692307692308,97
AR,2018-09-11,Centrarchidae,L. macrochirus,68.76234013605442,61.58692307692308,60.416
AR,2018-09-11,Centrarchidae,L. megalotis,68.76234013605442,61.58692307692308,60.151826086956525
AR,2018-09-11,Lepisosteidae,L. oculatus,68.76234013605442,634.5,634.5
AR,2018-09-11,Centrarchidae,M. salmoides,68.76234013605442,61.58692307692308,137.216
AR,2020-01-17,Leuciscidae,C. lutrensis,60.535714285714285,33,33
AR,2020-01-17,Cichlidae,H. cyanoguttatum,60.535714285714285,48,48
AR,2020-01-17,Centrarchidae,L. auritus,60.535714285714285,66.65116279069767,79.76470588235294
AR,2020-01-17,Centrarchidae,L. cyanellus,60.535714285714285,66.65116279069767,79.75
AR,2020-01-17,Centrarchidae,L. macrochirus,60.535714285714285,66.65116279069767,60.285714285714285
AR,2020-01-17,Centrarchidae,L. megalotis,60.535714285714285,66.65116279069767,51.266666666666666
AR,2020-01-17,Ictaluridae,N. gyrinus,60.535714285714285,83,83
AR,2020-05-20,Leuciscidae,C. lutrensis,81.93333333333334,51.96774193548387,51.96774193548387
