site_code,collection_date,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com
AR,2017-09-16,C. lutrensis,45.27428571428572,44.48,8.09657315870645,21,Leuciscidae,45.27428571428572,44.48,8.09657315870645,21,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-09-16,G. affinis,27.5,27.5,0.7071067811865476,2,Poeciliidae,27.5,27.5,0.7071067811865476,2,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-09-16,H. cyanoguttatum,43.75,43.5,8.777213321106563,20,Cichlidae,43.75,43.5,8.777213321106563,20,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-09-16,I. punctatus,71.412,71.412,NA,1,Ictaluridae,71.412,71.412,NA,1,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-09-16,L. auritus,103.257,103.257,19.1753216922168,2,Centrarchidae,56.08531578947368,49.664,23.68781278290848,38,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-09-16,L. cyanellus,119.416,119.416,NA,1,Centrarchidae,56.08531578947368,49.664,23.68781278290848,38,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-09-16,L. macrochirus,51.58034285714286,47.104,18.167553582502773,35,Centrarchidae,56.08531578947368,49.664,23.68781278290848,38,49.79773170731708,45.79600000000001,18.479728932227655,82
AR,2017-11-01,A. rostrata,385,385,63.63961030678928,2,Anguillidae,385,385,63.63961030678928,2,66.54251875,46.617000000000004,67.3918470929787,160
AR,2017-11-01,C. lutrensis,40.298880000000004,40.032,8.63907830886297,25,Leuciscidae,40.298880000000004,40.032,8.63907830886297,25,66.54251875,46.617000000000004,67.3918470929787,160
AR,2017-11-01,G. affinis,26.666666666666668,26.5,3.869069264008719,12,Poeciliidae,26.666666666666668,26.5,3.869069264008719,12,66.54251875,46.617000000000004,67.3918470929787,160
AR,2017-11-01,H. cyanoguttatum,47.27777777777778,44.5,22.92906081952245,18,Cichlidae,47.27777777777778,44.5,22.92906081952245,18,66.54251875,46.617000000000004,67.3918470929787,160
AR,2017-11-01,L. auritus,142.891,142.891,NA,1,Centrarchidae,69.78755882352941,56.353,44.126062788776885,102,66.54251875,46.617000000000004,67.3918470929787,160
AR,2017-11-01,L. cyanellus,97.152,97.152,NA,1,Centrarchidae,69.78755882352941,56.353,44.126062788776885,102,66.54251875,46.617000000000004,67.3918470929787,160
AR,2017-11-01,L. macrochirus,75.392,55.29600000000001,53.31142573643367,40,Centrarchidae,69.78755882352941,56.353,44.126062788776885,102,66.54251875,46.617000000000004,67.3918470929787,160
