Column,Units,Description
annualrain,cm/yr,average annual total rainfall based on a 50 year record
annualtemp,oC,average annual air temperature based on a 50 year record
bank_height_left_mean,m,"mean of four transects: distance from water to first bank shoulder, taken facing upstream on the left side"
bank_height_left_sd,m,"standard deviation of four transects:distance from water to first bank shoulder, taken facing upstream on the left side"
bank_height_right_mean,m,"mean of four transects: distance from water to first bank shoulder, taken facing upstream on the left side"
bank_height_right_sd,m,"standard deviation of four transects:distance from water to first bank shoulder, taken facing upstream on the left side"
bank_slope_left_mean,degrees,mean of four transects: slope of the left bank in degrees
bank_slope_left_sd,degrees,standard deviation of four transects:slope of the left bank in degrees
bank_slope_right_mean,degrees,mean of four transects: slope of the right bank in degrees
bank_slope_right_sd,degrees,standard deviation of four transects:slope of the right bank in degrees
basinsize,km2,size of the area draining to the sampling reach
bedrock_mean,%,"mean of four transects: % of bottom composed of bedrock, visual assessment"
bedrock_sd,%,"standard deviation of four transects:% of bottom composed of bedrock, visual assessment"
bfi,-,base flow index: avg of lowest 7 day stretch / average daily flow
biomass,g/m2,total biomass in g AFDM per m2 on this date
bluegreen_cyano_mean,µg/cm,"mean of four transects: amount of blue green cyano bacteria per unit area, measured with a bbe Benthotorch"
bluegreen_cyano_sd,µg/cm,"standard deviation of four transects:amount of blue green cyano bacteria per unit area, measured with a bbe Benthotorch"
boron_mean,ppm,mean of four transects: concentration of boron in the water
boron_sd,ppm,standard deviation of four transects:concentration of boron in the water
boulder_mean,%,"mean of four transects: % of bottom composed of boulder, visual assessment"
boulder_sd,%,"standard deviation of four transects:% of bottom composed of boulder, visual assessment"
ca_mean,ppm,mean of four transects: concentration of calcium in the water
ca_sd,ppm,standard deviation of four transects:concentration of calcium in the water
canopy_density_left_mean,%,"mean of four transects: percent canopy cover taken by spherical densiometer, taken facing upstream on the right bank"
canopy_density_left_sd,%,"standard deviation of four transects:percent canopy cover taken by spherical densiometer, taken facing upstream on the right bank"
canopy_density_mid_mean,%,"mean of four transects: percent canopy cover taken by spherical densiometer, taken facing upstream in the middle of channel"
canopy_density_mid_sd,%,"standard deviation of four transects:percent canopy cover taken by spherical densiometer, taken facing upstream in the middle of channel"
canopy_density_right_mean,%,"mean of four transects: percent canopy cover taken by spherical densiometer,  taken facing upstream on right bank"
canopy_density_right_sd,%,"standard deviation of four transects:percent canopy cover taken by spherical densiometer,  taken facing upstream on right bank"
canopy_total_mean,%,"mean of four transects: percent canopy cover taken by spherical densiometer,  summation of left, middle, and right readings divided by 3 (e.g. mean value)"
canopy_total_sd,%,"standard deviation of four transects:percent canopy cover taken by spherical densiometer,  summation of left, middle, and right readings divided by 3 (e.g. mean value)"
cl_mean,ppm,mean of four transects: concentration of chloride in the water
cl_sd,ppm,standard deviation of four transects:concentration of chloride in the water
clay_mean,%,"average of four transects:% of bottom composed of clay, visual assessment"
clay_sd,%,"standard deviation of four transects:% of bottom composed of clay, visual assessment"
co3_mean,mg/L,mean of four transects: concentration of carbonate in the water
co3_sd,mg/L,standard deviation of four transects:concentration of carbonate in the water
cobble_mean,%,"mean of four transects: % of bottom composed of cobble, visual assessment"
cobble_sd,%,"standard deviation of four transects:% of bottom composed of cobble, visual assessment"
collection_date,date (ymd),The date samples were collected
collection_period,date (ymd),Date approximation for ‘Cycle’ where collection dates within 2 weeks of the first of a month were lumped together as a ‘cycle’
