site_code,RI_shannon,RI_biomass,RI_d100,RI_length,collection_date,qtr,length_A18_mu,length_A18_sd,d100_A18_mu,d100_A18_sd,biomass_A18_mu,biomass_A18_sd,shannon_A18_mu,shannon_A18_sd,length_mu,d100_mu,biomass_mu,shannon,q_2w_max,depth_mx,canopy_density_mid,conductivity,do_mg_l,nh4_n,no3n,ortho_p,year,month,day,annualrain,flsh,lfpp,hfpp3,RR_length,RR_d100,RR_biomass,RR_shannon,LRR_length,LRR_d100,LRR_biomass,LRR_shannon,y_margin,LCL_d100,UCL_d100,RS_d100,LCL_length,UCL_length,RS_length,LCL_biomass,UCL_biomass,RS_biomass,LCL_shannon,UCL_shannon,RS_shannon
AR,20,20,20,20,2017-09-16,Q3,66.81165522913165,20.408580997029265,5.346938775510204,3.7605698139455934,0.21930468237755102,0.3133901588968247,4.1806796786365785,1.5805672863575742,49.95703846153846,4.928571428571429,0.032818628071428574,4.75863719287109,16.9,0.324375,0.783783783875,913.5,5.25759589575,0.0875,2.3591375,1.43625,2017,9,16,68.5326087,1.05,7.546559343,0.111426768,-0.2522706062256654,-0.07824427480916028,-0.8503514484249424,0.13824486893552138,-1.3772529333894372,-2.5479196176167345,-0.1621055462171917,-1.9787287536588911,1.85982462897893,0.9219450284306738,9.771932522589735,ordinary,42.797251091831626,90.82605936643166,ordinary,-0.1494557880097095,0.5880651527648115,ordinary,2.3208550496576486,6.0405043076155085,ordinary
AR,20,20,20,20,2017-11-01,Q4,66.81165522913165,20.408580997029265,5.346938775510204,3.7605698139455934,0.21930468237755102,0.3133901588968247,4.1806796786365785,1.5805672863575742,66.45523636363636,14.571428571428571,0.4112849477142857,4.85909962569213,3.65,0.2725,0.70945945975,1060.25,7.696032972,0.07,11.73375,2.775,2017,11,1,68.5326087,1.05,7.546559343,0.111426768,-0.005334680966561023,1.7251908396946563,0.8754043153817613,0.16227503640671184,-5.233526196098799,0.5453376760711341,-0.1330694246261591,-1.8184626277106852,1.85982462897893,0.9219450284306738,9.771932522589735,over,42.797251091831626,90.82605936643166,ordinary,-0.1494557880097095,0.5880651527648115,ordinary,2.3208550496576486,6.0405043076155085,ordinary
AR,20,20,20,20,2017-12-07,Q4,66.81165522913165,20.408580997029265,5.346938775510204,3.7605698139455934,0.21930468237755102,0.3133901588968247,4.1806796786365785,1.5805672863575742,59.28147142857143,7.5,0.07461726164285715,4.021505162339264,4.07,0.27,0.79054054075,784.7750000000001,8.23275921925,0.105,14.245,2.885,2017,12,7,68.5326087,1.05,7.546559343,0.111426768,-0.11270763723388277,0.4026717557251908,-0.6597552736498467,-0.03807383691955684,-2.1829580941819975,-0.9096335508449758,-0.41588631022428973,-3.2682279277572577,1.85982462897893,0.9219450284306738,9.771932522589735,ordinary,42.797251091831626,90.82605936643166,ordinary,-0.1494557880097095,0.5880651527648115,ordinary,2.3208550496576486,6.0405043076155085,ordinary
AR,20,20,20,20,2018-02-03,Q1,66.81165522913165,20.408580997029265,5.346938775510204,3.7605698139455934,0.21930468237755102,0.3133901588968247,4.1806796786365785,1.5805672863575742,47.11504938271605,9.071428571428571,0.030592890857142858,3.390740411334612,8.04,0.16,0.71621621625,763.25,8.734759407750001,0.35,9.706,1.2825,2018,2,3,68.5326087,1.05,7.546559343,0.111426768,-0.2948079310243964,0.6965648854961831,-0.8605005122304015,-0.18894996221274363,-1.2214312159610061,-0.3615943307385508,-0.15024106806006182,-1.6662730491721387,1.85982462897893,0.9219450284306738,9.771932522589735,ordinary,42.797251091831626,90.82605936643166,ordinary,-0.1494557880097095,0.5880651527648115,ordinary,2.3208550496576486,6.0405043076155085,ordinary
AR,20,20,20,20,2018-04-07,Q2,66.81165522913165,20.408580997029265,5.346938775510204,3.7605698139455934,0.21930468237755102,0.3133901588968247,4.1806796786365785,1.5805672863575742,57.17712280701755,5.142857142857143,0.028837398214285714,1.8573088521104577,16.1,0.18,0.78378378375,1288.25,5.8965869067500005,0.12666666666666668,8.588666666666667,3.38,2018,4,7,68.5326087,1.05,7.546559343,0.111426768,-0.14420436657454921,-0.03816793893129767,-0.8685053237274717,-0.5557399765398503,-1.9365237732128584,-3.2657594107670525,-0.14098156352417252,-0.5874547622161791,1.85982462897893,0.9219450284306738,9.771932522589735,ordinary,42.797251091831626,90.82605936643166,ordinary,-0.1494557880097095,0.5880651527648115,ordinary,2.3208550496576486,6.0405043076155085,under
EM,44,44,44,44,2017-10-10,Q4,79.24426148899575,31.231042588164765,3.9115646258503403,3.077044032574779,0.09156293161904762,0.06378702413623125,4.856848613026456,1.0911684139244973,56.004000000000005,2.3333333333333335,0.04061414957142857,5.365290907706528,33.5,0.4125,0,366.575,5.62412912975,0.10857142857142855,0.3929857142857142,0.3514285714285714,2017,10,10,95.02463768,0.79,0,0.366003788,-0.29327374692264624,-0.4034782608695652,-0.5564345870837134,0.10468563778504217,-1.2266488163037816,-0.9076326691310406,-0.5862056586007999,-2.2567933454429507,1.2839579232703071,0.29086316908202026,7.53226608261866,ordinary,42.495264660132996,115.9932583178585,ordinary,0.01650590651053359,0.16661995672756164,ordinary,3.5728906897561483,6.140806536296763,ordinary
EM,44,44,44,44,2017-11-03,Q4,79.24426148899575,31.231042588164765,3.9115646258503403,3.077044032574779,0.09156293161904762,0.06378702413623125,4.856848613026456,1.0911684139244973,69.49104743083004,7.666666666666667,0.09359438657142857,4.621796733014487,3.55,0.6125,0,437.7,4.5353221535,0.0975,0.604625,0.0675,2017,11,3,95.02463768,0.79,0,0.366003788,-0.12307785920271451,0.96,0.02218643414381847,-0.048395965931806194,-2.0949381222226715,-0.040821994520255166,-3.808274251488856,-3.0283388172496326,1.2839579232703071,0.29086316908202026,7.53226608261866,over,42.495264660132996,115.9932583178585,ordinary,0.01650590651053359,0.16661995672756164,ordinary,3.5728906897561483,6.140806536296763,ordinary
EM,44,44,44,44,2017-12-02,Q4,79.24426148899575,31.231042588164765,3.9115646258503403,3.077044032574779,0.09156293161904762,0.06378702413623125,4.856848613026456,1.0911684139244973,55.5064708994709,9.476190476190476,0.048811843333333334,3.5798684828256397,0.1,0.56,0.00675675675,588.25,6.57167406175,0.0925,0.3794,0.0375,2017,12,2,95.02463768,0.79,0,0.366003788,-0.2995521712675838,1.4226086956521737,-0.466903882715141,-0.26292360169016865,-1.2054666820472133,0.3524922958053965,-0.7616318610939223,-1.3358917768742276,1.2839579232703071,0.29086316908202026,7.53226608261866,over,42.495264660132996,115.9932583178585,ordinary,0.01650590651053359,0.16661995672756164,ordinary,3.5728906897561483,6.140806536296763,ordinary
EM,44,44,44,44,2018-02-09,Q1,79.24426148899575,31.231042588164765,3.9115646258503403,3.077044032574779,0.09156293161904762,0.06378702413623125,4.856848613026456,1.0911684139244973,66.7748624535316,7.571428571428571,0.10137231514285715,4.760168904648248,3.31,0.4825,0.02027027025,534.75,8.99510953975,0.2075,0.7202500000000001,0.16,2018,2,9,95.02463768,0.79,0,0.366003788,-0.1573539686175978,0.9356521739130433,0.107132693879025,-0.01990585173252156,-1.8492574341971664,-0.06651148063556617,-2.233687083135416,-3.916741533567319,1.2839579232703071,0.29086316908202026,7.53226608261866,over,42.495264660132996,115.9932583178585,ordinary,0.01650590651053359,0.16661995672756164,ordinary,3.5728906897561483,6.140806536296763,ordinary
EM,44,44,44,44,2018-03-09,Q1,79.24426148899575,31.231042588164765,3.9115646258503403,3.077044032574779,0.09156293161904762,0.06378702413623125,4.856848613026456,1.0911684139244973,58.758695431472084,7.285714285714286,0.1423791259047619,3.223758836602721,27.7,0.27375,0.10472972975,506,6.059182765,0.2675,0.34875,0.365,2018,3,9,95.02463768,0.79,0,0.366003788,-0.25851166598818504,0.8626086956521738,0.5549865364418182,-0.3362447353297481,-1.352814456503856,-0.1477941140724231,-0.5888114241933393,-1.089916005200562,1.2839579232703071,0.29086316908202026,7.53226608261866,ordinary,42.495264660132996,115.9932583178585,ordinary,0.01650590651053359,0.16661995672756164,ordinary,3.5728906897561483,6.140806536296763,under
EM,44,44,44,44,2018-03-31,Q1,79.24426148899575,31.231042588164765,3.9115646258503403,3.077044032574779,0.09156293161904762,0.06378702413623125,4.856848613026456,1.0911684139244973,43.49488622754491,5.238095238095238,0.008643643857142858,3.901094060568136,400,1.04,0,132.4,5.950931242999999,0.3375,1.07175,2.775,2018,3,31,95.02463768,0.79,0,0.366003788,-0.4511288841579421,0.3391304347826087,-0.905598873864096,-0.19678491725991001,-0.7960022061189993,-1.0813704822336037,-0.09915881505862073,-1.6256439372404559,1.2839579232703071,0.29086316908202026,7.53226608261866,ordinary,42.495264660132996,115.9932583178585,ordinary,0.01650590651053359,0.16661995672756164,under,3.5728906897561483,6.140806536296763,ordinary
GC,37,37,168,37,2017-10-03,Q4,57.34581729944188,12.431254365058102,1.8015873015873016,0.8479320905001421,0.024872467761904764,0.03311491551809643,5.2282028257401505,1.6219001898195589,54.27945454545455,0.5,0.0019022568333333333,4.166436205292808,104,0.24,0.45270270275,394.9875,3.92377078825,0.08125,0.08574,0.07375,2017,10,3,84.25101449,0.81,4.723800505,0.283775253,-0.05347142822946876,-0.7224669603524229,-0.9235195778905834,-0.20308443567260223,-2.9286078195222545,-0.3250835896572043,-0.07956327990259991,-1.5941334471452078,1.9084603008097443,0.8038411130982487,2.7993334900763545,under,42.71818756371773,71.97344703516603,ordinary,-0.014093247901515067,0.0638381834253246,ordinary,3.3197425249304064,7.1366631265498945,ordinary
GC,37,37,168,37,2017-11-04,Q4,57.34581729944188,12.431254365058102,1.8015873015873016,0.8479320905001421,0.024872467761904764,0.03311491551809643,5.2282028257401505,1.6219001898195589,48.95894957983193,3.1666666666666665,0.012737732944444444,4.8717098499547635,2.05,0.34,0.5675675675,549.25,5.6664107365,0.0625,0.108315,0.0575,2017,11,4,84.25101449,0.81,4.723800505,0.283775253,-0.14625073134482255,0.7577092511013215,-0.4878782006522953,-0.06818652368080587,-1.922432792234315,-0.27745554066794975,-0.7176894931087285,-2.685508333646354,1.9084603008097443,0.8038411130982487,2.7993334900763545,over,42.71818756371773,71.97344703516603,ordinary,-0.014093247901515067,0.0638381834253246,ordinary,3.3197425249304064,7.1366631265498945,ordinary
GC,37,37,168,37,2017-12-03,Q4,57.34581729944188,12.431254365058102,1.8015873015873016,0.8479320905001421,0.024872467761904764,0.03311491551809643,5.2282028257401505,1.6219001898195589,54.46543065693431,3.111111111111111,0.04038671261111111,6.745649985384081,1.73,0.30125,0.7972972975,535,6.6918836605,0.06,0.2564,0.0625,2017,12,3,84.25101449,0.81,4.723800505,0.283775253,-0.05022836499944011,0.7268722466960352,0.6237517321449026,0.29024259582528866,-2.9911753720298657,-0.3190045435808221,-0.4720028549344486,-1.2370381683753744,1.9084603008097443,0.8038411130982487,2.7993334900763545,over,42.71818756371773,71.97344703516603,ordinary,-0.014093247901515067,0.0638381834253246,ordinary,3.3197425249304064,7.1366631265498945,ordinary
GC,37,37,168,37,2018-02-11,Q1,57.34581729944188,12.431254365058102,1.8015873015873016,0.8479320905001421,0.024872467761904764,0.03311491551809643,5.2282028257401505,1.6219001898195589,63.30794936708861,2.6666666666666665,0.035434720055555556,5.184548957063665,0.3,0.5475,0.8108108110000001,485.9,7.21361001725,0.2125,0.1555,0.2525,2018,2,11,84.25101449,0.81,4.723800505,0.283775253,0.1039680372243078,0.4801762114537444,0.4246563869238652,-0.008349689201337617,-2.26367176145931,-0.7336021352522591,-0.856474938426825,-4.7855309622087985,1.9084603008097443,0.8038411130982487,2.7993334900763545,ordinary,42.71818756371773,71.97344703516603,ordinary,-0.014093247901515067,0.0638381834253246,ordinary,3.3197425249304064,7.1366631265498945,ordinary
GC,37,37,168,37,2018-03-30,Q1,57.34581729944188,12.431254365058102,1.8015873015873016,0.8479320905001421,0.024872467761904764,0.03311491551809643,5.2282028257401505,1.6219001898195589,53.273833333333336,2.5555555555555554,0.008944560166666667,3.6195544291406905,12.6,0.385,0.78378378375,285.425,3.04402945425,0.1175,0.065,1.9575,2018,3,30,84.25101449,0.81,4.723800505,0.283775253,-0.07100751472153449,0.4185022026431717,-0.6403830833237079,-0.3076866851223825,-2.6449695663932276,-0.8710731258808622,-0.4456887140053142,-1.1786732698608626,1.9084603008097443,0.8038411130982487,2.7993334900763545,ordinary,42.71818756371773,71.97344703516603,ordinary,-0.014093247901515067,0.0638381834253246,ordinary,3.3197425249304064,7.1366631265498945,ordinary
